Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE004,81.76,127.96,4.77,2.09,72.08,35.97,639.69,11.44,7.56
2,NODE004,81.78,128.04,4.75,2.09,72.24,35.92,638.62,11.45,7.5
3,NODE004,81.66,127.63,4.74,2.1,72.28,35.88,637.34,11.39,7.58
4,NODE004,81.77,127.75,4.77,2.09,72.45,35.94,636.83,11.45,7.55
5,NODE004,81.64,127.5,4.8,2.09,72.31,35.9,636.98,11.4,7.47
6,NODE004,81.65,127.08,4.83,2.08,72.33,35.98,637.97,11.49,7.54
7,NODE004,81.72,127.24,4.81,2.09,72.32,36.01,637.12,11.42,7.55
8,NODE004,81.71,127.07,4.81,2.1,72.19,36.0,637.81,11.39,7.54
9,NODE004,81.95,126.76,4.79,2.1,72.35,36.05,639.19,11.39,7.48
10,NODE004,82.14,126.82,4.8,2.1,72.37,36.11,638.89,11.41,7.48
11,NODE004,82.43,126.78,4.79,2.09,72.17,36.09,639.21,11.4,7.48
12,NODE004,82.7,127.08,4.76,2.09,72.3,36.15,639.5,11.34,7.49
13,NODE004,95.44,145.09,5.18,2.09,82.08,36.14,653.59,13.2,9.31
14,NODE004,94.86,143.97,5.15,2.1,81.69,36.19,654.27,13.1,9.26
15,NODE004,94.42,143.23,5.13,2.11,81.45,36.19,653.42,13.03,9.18
16,NODE004,94.03,142.93,5.13,2.1,81.23,36.2,652.78,13.03,9.19
17,NODE004,93.43,141.97,5.12,2.09,80.92,36.26,653.38,12.91,9.08
18,NODE004,92.77,141.12,5.1,2.09,80.59,36.21,651.66,12.88,8.96
19,NODE004,92.64,141.14,5.06,2.1,80.37,36.28,651.78,12.8,8.91
20,NODE004,92.38,140.65,5.05,2.11,80.14,36.28,652.41,12.74,8.82
21,NODE004,92.03,140.01,5.06,2.11,79.64,36.25,652.36,12.76,8.79
22,NODE004,91.81,139.7,5.06,2.11,79.61,36.25,651.9,12.8,8.75
23,NODE004,91.58,139.67,5.07,2.1,79.21,36.2,651.85,12.81,8.77
24,NODE004,91.44,139.39,5.03,2.11,79.22,36.11,652.23,12.75,8.74
25,NODE004,91.27,139.14,5.0,2.1,79.15,36.12,651.34,12.65,8.76
26,NODE004,91.24,138.9,4.98,2.1,78.89,36.16,650.11,12.56,8.78
27,NODE004,90.93,138.87,4.97,2.1,78.41,36.09,650.76,12.55,8.73
28,NODE004,90.8,138.48,4.96,2.11,78.04,36.11,649.6,12.59,8.75
29,NODE004,90.46,138.21,4.92,2.1,77.61,36.05,649.96,12.55,8.71
30,NODE004,90.03,138.14,4.91,2.1,77.24,35.99,649.3,12.51,8.65
31,NODE004,89.67,137.36,4.89,2.1,77.01,36.07,648.36,12.4,8.62
32,NODE004,89.53,137.24,4.89,2.1,76.58,36.13,649.35,12.46,8.49
33,NODE004,89.15,136.98,4.88,2.1,76.64,36.07,648.45,12.36,8.42
34,NODE004,88.78,136.31,4.9,2.1,76.74,36.01,648.18,12.41,8.4
35,NODE004,88.84,136.24,4.92,2.11,76.42,36.01,647.82,12.43,8.4
36,NODE004,88.46,135.56,4.9,2.11,76.25,36.02,647.58,12.44,8.44
37,NODE004,88.51,135.05,4.88,2.1,76.35,35.99,647.95,12.48,8.46
38,NODE004,88.26,135.02,4.85,2.11,76.34,35.91,646.64,12.41,8.46
39,NODE004,88.0,135.04,4.84,2.11,76.04,35.95,645.68,12.35,8.46
40,NODE004,87.87,134.45,4.82,2.11,76.1,35.93,646.6,12.34,8.46
41,NODE004,87.91,134.26,4.8,2.1,76.03,35.96,647.65,12.38,8.38
42,NODE004,87.52,134.39,4.79,2.1,76.1,36.01,646.51,12.35,8.42
43,NODE004,87.02,134.67,4.78,2.09,76.14,35.93,645.34,12.31,8.45
44,NODE004,87.13,134.15,4.8,2.09,76.1,35.88,645.23,12.37,8.35
45,NODE004,86.81,134.02,4.81,2.09,75.85,35.96,644.13,12.38,8.29
46,NODE004,86.52,134.26,4.82,2.08,75.94,35.99,645.02,12.39,8.31
47,NODE004,86.15,134.19,4.83,2.09,76.01,36.05,644.34,12.35,8.28
48,NODE004,86.09,133.91,4.81,2.1,76.0,36.07,643.85,12.31,8.2
49,NODE004,86.13,134.16,4.83,2.1,75.61,36.08,644.09,12.37,8.1
50,NODE004,86.16,133.91,4.84,2.1,75.61,36.03,644.57,12.42,8.09
51,NODE004,86.06,134.12,4.85,2.1,75.56,36.09,645.38,12.44,8.13
52,NODE004,85.63,133.46,4.86,2.1,75.69,36.01,644.79,12.49,8.14
53,NODE004,85.3,133.22,4.88,2.1,75.58,36.08,645.28,12.39,8.14
54,NODE004,85.05,133.52,4.86,2.11,75.3,36.15,646.23,12.43,8.15
